Sector,Local.authority,year,leave_join,Homes_or_places,value
Local Authority,DORSET,2022,Net change,Children's homes,2.0
For-profit,DORSET,2022,Entries,Children's homes,1.0
For-profit,DORSET,2022,Net change,Places,2.0
For-profit,DORSET,2020,Entries,Children's homes,2.0
Local Authority,DORSET,2018,Net change,Children's homes,-2.0
For-profit,DORSET,2023,Exits,Children's homes,2.0
Local Authority,DORSET,2021,Net change,Children's homes,1.0
For-profit,DORSET,2021,Net change,Children's homes,0.0
For-profit,DORSET,2017,Exits,Places,2.0
For-profit,DORSET,2022,Net change,Children's homes,1.0
Local Authority,DORSET,2022,Entries,Places,4.0
For-profit,DORSET,2020,Net change,Places,5.0
For-profit,DORSET,2021,Entries,Children's homes,3.0
Local Authority,DORSET,2022,Net change,Places,4.0
Local Authority,DORSET,2018,Exits,Places,5.0
For-profit,DORSET,2021,Exits,Places,76.0
Local Authority,DORSET,2017,Net change,Children's homes,-2.0
For-profit,DORSET,2016,Entries,Children's homes,1.0
For-profit,DORSET,2022,Entries,Places,2.0
For-profit,DORSET,2017,Net change,Places,-2.0
Local Authority,DORSET,2017,Net change,Places,-4.0
Local Authority,DORSET,2021,Entries,Places,1.0
For-profit,DORSET,2023,Net change,Children's homes,-2.0
Local Authority,DORSET,2023,Exits,Places,1.0
For-profit,DORSET,2015,Exits,Places,0.0
Local Authority,DORSET,2021,Entries,Children's homes,1.0
For-profit,DORSET,2021,Entries,Places,6.0
Third Sector,DORSET,2016,Exits,Places,36.0
For-profit,DORSET,2023,Net change,Places,-60.0
For-profit,DORSET,2021,Exits,Children's homes,3.0
For-profit,DORSET,2023,Exits,Places,60.0
Local Authority,DORSET,2023,Net change,Children's homes,-1.0
Local Authority,DORSET,2023,Net change,Places,-1.0
For-profit,DORSET,2020,Entries,Places,5.0
Local Authority,DORSET,2023,Exits,Children's homes,1.0
For-profit,DORSET,2017,Exits,Children's homes,1.0
Third Sector,DORSET,2016,Exits,Children's homes,2.0
Local Authority,DUDLEY,2018,Net change,Places,-3.0
For-profit,DUDLEY,2020,Entries,Places,7.0
Local Authority,DUDLEY,2018,Net change,Children's homes,-2.0
Third Sector,DUDLEY,2014,Exits,Places,0.0
For-profit,DUDLEY,2022,Exits,Children's homes,1.0
Local Authority,DUDLEY,2018,Exits,Places,3.0
For-profit,DUDLEY,2020,Entries,Children's homes,2.0
For-profit,DUDLEY,2019,Entries,Children's homes,1.0
For-profit,DUDLEY,2022,Exits,Places,4.0
For-profit,DUDLEY,2017,Net change,Places,4.0
For-profit,DUDLEY,2015,Exits,Children's homes,1.0
For-profit,DUDLEY,2017,Net change,Children's homes,1.0
For-profit,DUDLEY,2019,Net change,Children's homes,1.0
For-profit,DUDLEY,2019,Net change,Places,3.0
For-profit,DUDLEY,2015,Exits,Places,0.0
For-profit,DUDLEY,2016,Entries,Children's homes,1.0
Local Authority,DUDLEY,2016,Exits,Children's homes,2.0
For-profit,DUDLEY,2017,Entries,Children's homes,1.0
Third Sector,DUDLEY,2014,Exits,Children's homes,1.0
For-profit,DUDLEY,2022,Net change,Places,-4.0
Third Sector,DUDLEY,2020,Entries,Children's homes,1.0
Third Sector,DUDLEY,2021,Net change,Children's homes,-1.0
For-profit,DUDLEY,2022,Net change,Children's homes,-1.0
Local Authority,DUDLEY,2022,Exits,Children's homes,4.0
For-profit,DUDLEY,2016,Entries,Places,6.0
For-profit,DUDLEY,2019,Entries,Places,3.0
Local Authority,DUDLEY,2018,Exits,Children's homes,2.0
Third Sector,DUDLEY,2021,Exits,Places,1.0
For-profit,DUDLEY,2014,Exits,Children's homes,2.0
For-profit,DUDLEY,2017,Entries,Places,4.0
Third Sector,DUDLEY,2020,Entries,Places,1.0
Third Sector,DUDLEY,2021,Exits,Children's homes,1.0
Local Authority,DUDLEY,2022,Net change,Places,-8.0
For-profit,DUDLEY,2014,Exits,Places,0.0
For-profit,DUDLEY,2020,Net change,Children's homes,2.0
Third Sector,DUDLEY,2020,Net change,Children's homes,1.0
For-profit,DUDLEY,2020,Net change,Places,7.0
Local Authority,DUDLEY,2016,Exits,Places,6.0
Third Sector,DUDLEY,2020,Net change,Places,1.0
Local Authority,DUDLEY,2022,Exits,Places,8.0
Local Authority,DUDLEY,2022,Net change,Children's homes,-4.0
Third Sector,DUDLEY,2021,Net change,Places,-1.0
For-profit,DURHAM,2018,Entries,Places,6.0
For-profit,DURHAM,2021,Exits,Children's homes,1.0
Local Authority,DURHAM,2022,Net change,Children's homes,1.0
For-profit,DURHAM,2022,Net change,Places,13.0
For-profit,DURHAM,2022,Net change,Children's homes,4.0
For-profit,DURHAM,2017,Net change,Places,18.0
Local Authority,DURHAM,2021,Exits,Places,4.0
For-profit,DURHAM,2017,Net change,Children's homes,3.0
For-profit,DURHAM,2016,Exits,Places,9.0
For-profit,DURHAM,2014,Exits,Children's homes,1.0
For-profit,DURHAM,2018,Net change,Places,6.0
Local Authority,DURHAM,2022,Entries,Children's homes,1.0
For-profit,DURHAM,2019,Exits,Children's homes,1.0
For-profit,DURHAM,2021,Entries,Places,4.0
For-profit,DURHAM,2018,Net change,Children's homes,2.0
For-profit,DURHAM,2019,Exits,Places,4.0
Local Authority,DURHAM,2022,Net change,Places,2.0
Local Authority,DURHAM,2021,Entries,Places,6.0
Local Authority,DURHAM,2021,Net change,Places,2.0
Local Authority,DURHAM,2022,Entries,Places,2.0
Local Authority,DURHAM,2021,Exits,Children's homes,2.0
For-profit,DURHAM,2020,Net change,Children's homes,4.0
For-profit,DURHAM,2018,Entries,Children's homes,2.0
For-profit,DURHAM,2016,Entries,Children's homes,1.0
Local Authority,DURHAM,2021,Entries,Children's homes,2.0
For-profit,DURHAM,2014,Exits,Places,0.0
For-profit,DURHAM,2015,Exits,Children's homes,1.0
For-profit,DURHAM,2020,Net change,Places,16.0
Local Authority,DURHAM,2020,Exits,Children's homes,2.0
For-profit,DURHAM,2022,Entries,Places,13.0
For-profit,DURHAM,2017,Entries,Places,18.0
Local Authority,DURHAM,2015,Exits,Places,0.0
For-profit,DURHAM,2022,Entries,Children's homes,4.0
Local Authority,DURHAM,2014,Exits,Children's homes,1.0
For-profit,DURHAM,2021,Entries,Children's homes,2.0
For-profit,DURHAM,2016,Entries,Places,4.0
For-profit,DURHAM,2016,Exits,Children's homes,5.0
Local Authority,DURHAM,2020,Net change,Places,-5.0
Local Authority,DURHAM,2020,Net change,Children's homes,-2.0
For-profit,DURHAM,2017,Entries,Children's homes,3.0
For-profit,DURHAM,2019,Net change,Places,5.0
For-profit,DURHAM,2019,Net change,Children's homes,2.0
For-profit,DURHAM,2015,Exits,Places,0.0
Local Authority,DURHAM,2014,Exits,Places,0.0
For-profit,DURHAM,2019,Entries,Places,9.0
For-profit,DURHAM,2021,Exits,Places,7.0
For-profit,DURHAM,2019,Entries,Children's homes,3.0
Local Authority,DURHAM,2015,Exits,Children's homes,1.0
For-profit,DURHAM,2020,Entries,Places,16.0
For-profit,DURHAM,2020,Entries,Children's homes,4.0
For-profit,DURHAM,2021,Net change,Children's homes,1.0
Local Authority,DURHAM,2021,Net change,Children's homes,0.0
Local Authority,DURHAM,2020,Exits,Places,5.0
For-profit,DURHAM,2021,Net change,Places,-3.0
For-profit,EALING,2021,Net change,Places,11.0
Third Sector,EALING,2020,Exits,Children's homes,2.0
For-profit,EALING,2021,Entries,Places,11.0
For-profit,EALING,2021,Net change,Children's homes,3.0
For-profit,EALING,2016,Exits,Places,4.0
Third Sector,EALING,2020,Entries,Places,6.0
Local Authority,EALING,2018,Exits,Places,6.0
Local Authority,EALING,2016,Exits,Places,9.0
Local Authority,EALING,2018,Exits,Children's homes,2.0
For-profit,EALING,2019,Exits,Places,3.0
For-profit,EALING,2019,Net change,Children's homes,-1.0
Third Sector,EALING,2020,Entries,Children's homes,1.0
For-profit,EALING,2019,Entries,Places,4.0
For-profit,EALING,2021,Entries,Children's homes,3.0
Local Authority,EALING,2018,Net change,Places,-6.0
Local Authority,EALING,2018,Net change,Children's homes,-2.0
For-profit,EALING,2019,Net change,Places,1.0
Third Sector,EALING,2020,Exits,Places,31.0
For-profit,EALING,2019,Entries,Children's homes,1.0
For-profit,EALING,2019,Exits,Children's homes,2.0
For-profit,EALING,2016,Exits,Children's homes,2.0
Local Authority,EALING,2016,Exits,Children's homes,2.0
Third Sector,EALING,2020,Net change,Children's homes,-1.0
Third Sector,EALING,2020,Net change,Places,-25.0
For-profit,EAST RIDING OF YORKSHIRE,2022,Exits,Children's homes,1.0
Third Sector,EAST RIDING OF YORKSHIRE,2021,Net change,Children's homes,1.0
Local Authority,EAST RIDING OF YORKSHIRE,2022,Exits,Places,6.0
Third Sector,EAST RIDING OF YORKSHIRE,2021,Entries,Children's homes,1.0
For-profit,EAST RIDING OF YORKSHIRE,2022,Exits,Places,1.0
Third Sector,EAST RIDING OF YORKSHIRE,2021,Entries,Places,4.0
Third Sector,EAST RIDING OF YORKSHIRE,2021,Net change,Places,4.0
For-profit,EAST RIDING OF YORKSHIRE,2020,Exits,Children's homes,3.0
For-profit,EAST RIDING OF YORKSHIRE,2015,Exits,Children's homes,2.0
For-profit,EAST RIDING OF YORKSHIRE,2020,Exits,Places,17.0
For-profit,EAST RIDING OF YORKSHIRE,2022,Entries,Places,4.0
For-profit,EAST RIDING OF YORKSHIRE,2020,Net change,Children's homes,4.0
Local Authority,EAST RIDING OF YORKSHIRE,2022,Net change,Places,-5.0
For-profit,EAST RIDING OF YORKSHIRE,2014,Exits,Places,0.0
Local Authority,EAST RIDING OF YORKSHIRE,2022,Exits,Children's homes,2.0
For-profit,EAST RIDING OF YORKSHIRE,2020,Entries,Children's homes,7.0
For-profit,EAST RIDING OF YORKSHIRE,2016,Entries,Children's homes,1.0
For-profit,EAST RIDING OF YORKSHIRE,2022,Entries,Children's homes,1.0
For-profit,EAST RIDING OF YORKSHIRE,2020,Entries,Places,15.0
For-profit,EAST RIDING OF YORKSHIRE,2015,Exits,Places,0.0
For-profit,EAST RIDING OF YORKSHIRE,2014,Exits,Children's homes,1.0
For-profit,EAST RIDING OF YORKSHIRE,2016,Exits,Children's homes,2.0
Local Authority,EAST RIDING OF YORKSHIRE,2022,Entries,Places,1.0
For-profit,EAST RIDING OF YORKSHIRE,2022,Net change,Children's homes,0.0
For-profit,EAST RIDING OF YORKSHIRE,2020,Net change,Places,-2.0
For-profit,EAST RIDING OF YORKSHIRE,2016,Entries,Places,1.0
Local Authority,EAST RIDING OF YORKSHIRE,2022,Net change,Children's homes,-1.0
Local Authority,EAST RIDING OF YORKSHIRE,2022,Entries,Children's homes,1.0
For-profit,EAST RIDING OF YORKSHIRE,2022,Net change,Places,3.0
For-profit,EAST RIDING OF YORKSHIRE,2016,Exits,Places,1.0
For-profit,EAST SUSSEX,2022,Net change,Places,16.0
Local Authority,EAST SUSSEX,2022,Net change,Places,5.0
Local Authority,EAST SUSSEX,2014,Exits,Places,0.0
For-profit,EAST SUSSEX,2023,Entries,Children's homes,1.0
Local Authority,EAST SUSSEX,2014,Exits,Children's homes,1.0
For-profit,EAST SUSSEX,2019,Exits,Children's homes,2.0
For-profit,EAST SUSSEX,2014,Exits,Places,0.0
For-profit,EAST SUSSEX,2018,Entries,Children's homes,2.0
For-profit,EAST SUSSEX,2019,Net change,Places,-3.0
For-profit,EAST SUSSEX,2023,Exits,Children's homes,2.0
For-profit,EAST SUSSEX,2016,Entries,Children's homes,1.0
Local Authority,EAST SUSSEX,2022,Entries,Children's homes,1.0
For-profit,EAST SUSSEX,2020,Net change,Children's homes,2.0
For-profit,EAST SUSSEX,2020,Net change,Places,7.0
For-profit,EAST SUSSEX,2021,Entries,Children's homes,2.0
For-profit,EAST SUSSEX,2020,Entries,Places,7.0
For-profit,EAST SUSSEX,2016,Entries,Places,2.0
For-profit,EAST SUSSEX,2020,Entries,Children's homes,2.0
For-profit,EAST SUSSEX,2017,Entries,Children's homes,2.0
For-profit,EAST SUSSEX,2018,Net change,Children's homes,1.0
For-profit,EAST SUSSEX,2018,Net change,Places,4.0
For-profit,EAST SUSSEX,2021,Net change,Places,6.0
For-profit,EAST SUSSEX,2019,Net change,Children's homes,-2.0
For-profit,EAST SUSSEX,2021,Net change,Children's homes,2.0
Local Authority,EAST SUSSEX,2022,Net change,Children's homes,1.0
For-profit,EAST SUSSEX,2017,Exits,Places,6.0
For-profit,EAST SUSSEX,2022,Exits,Places,5.0
For-profit,EAST SUSSEX,2014,Exits,Children's homes,1.0
For-profit,EAST SUSSEX,2017,Net change,Children's homes,0.0
For-profit,EAST SUSSEX,2022,Entries,Places,21.0
For-profit,EAST SUSSEX,2018,Entries,Places,6.0
For-profit,EAST SUSSEX,2018,Exits,Places,2.0
Local Authority,EAST SUSSEX,2022,Entries,Places,5.0
For-profit,EAST SUSSEX,2021,Entries,Places,6.0
For-profit,EAST SUSSEX,2022,Entries,Children's homes,4.0
For-profit,EAST SUSSEX,2022,Net change,Children's homes,3.0
For-profit,EAST SUSSEX,2022,Exits,Children's homes,1.0
For-profit,EAST SUSSEX,2023,Exits,Places,11.0
For-profit,EAST SUSSEX,2023,Entries,Places,11.0
For-profit,EAST SUSSEX,2023,Net change,Places,0.0
For-profit,EAST SUSSEX,2019,Exits,Places,3.0
For-profit,EAST SUSSEX,2023,Net change,Children's homes,-1.0
For-profit,EAST SUSSEX,2017,Exits,Children's homes,2.0
For-profit,EAST SUSSEX,2017,Entries,Places,11.0
For-profit,EAST SUSSEX,2018,Exits,Children's homes,1.0
For-profit,EAST SUSSEX,2017,Net change,Places,5.0
For-profit,ENFIELD,2020,Net change,Places,7.0
For-profit,ENFIELD,2021,Net change,Places,3.0
For-profit,ENFIELD,2021,Entries,Children's homes,1.0
For-profit,ENFIELD,2020,Exits,Places,3.0
For-profit,ENFIELD,2021,Entries,Places,3.0
For-profit,ENFIELD,2022,Exits,Children's homes,2.0
For-profit,ENFIELD,2016,Exits,Places,3.0
For-profit,ENFIELD,2020,Entries,Children's homes,2.0
For-profit,ENFIELD,2022,Net change,Children's homes,-2.0
Third Sector,ENFIELD,2022,Entries,Children's homes,1.0
Third Sector,ENFIELD,2022,Net change,Places,1.0
Third Sector,ENFIELD,2022,Entries,Places,1.0
For-profit,ENFIELD,2019,Entries,Children's homes,2.0
Third Sector,ENFIELD,2022,Net change,Children's homes,1.0
For-profit,ENFIELD,2020,Exits,Children's homes,2.0
For-profit,ENFIELD,2019,Entries,Places,8.0
For-profit,ENFIELD,2022,Net change,Places,-4.0
For-profit,ENFIELD,2020,Net change,Children's homes,0.0
For-profit,ENFIELD,2016,Exits,Children's homes,2.0
For-profit,ENFIELD,2019,Net change,Children's homes,2.0
For-profit,ENFIELD,2022,Exits,Places,4.0
For-profit,ENFIELD,2021,Net change,Children's homes,1.0
For-profit,ENFIELD,2020,Entries,Places,10.0
For-profit,ENFIELD,2019,Net change,Places,8.0
Third Sector,ESSEX,2014,Exits,Places,0.0
For-profit,ESSEX,2020,Net change,Places,10.0
For-profit,ESSEX,2017,Exits,Places,2.0
For-profit,ESSEX,2021,Entries,Children's homes,9.0
For-profit,ESSEX,2022,Net change,Children's homes,2.0
Third Sector,ESSEX,2014,Exits,Children's homes,1.0
For-profit,ESSEX,2022,Net change,Places,25.0
For-profit,ESSEX,2020,Net change,Children's homes,0.0
For-profit,ESSEX,2022,Entries,Children's homes,4.0
For-profit,ESSEX,2018,Exits,Children's homes,3.0
Local Authority,ESSEX,2014,Exits,Places,0.0
Local Authority,ESSEX,2017,Net change,Children's homes,-2.0
For-profit,ESSEX,2017,Net change,Children's homes,4.0
For-profit,ESSEX,2017,Net change,Places,27.0
For-profit,ESSEX,2023,Net change,Places,3.0
Local Authority,ESSEX,2017,Net change,Places,-16.0
For-profit,ESSEX,2014,Exits,Children's homes,2.0
For-profit,ESSEX,2023,Net change,Children's homes,1.0
For-profit,ESSEX,2021,Net change,Children's homes,6.0
For-profit,ESSEX,2021,Net change,Places,26.0
Local Authority,ESSEX,2017,Exits,Children's homes,2.0
For-profit,ESSEX,2020,Entries,Children's homes,7.0
For-profit,ESSEX,2020,Exits,Children's homes,7.0
For-profit,ESSEX,2019,Net change,Children's homes,-5.0
For-profit,ESSEX,2020,Entries,Places,27.0
For-profit,ESSEX,2017,Entries,Children's homes,6.0
For-profit,ESSEX,2018,Entries,Children's homes,2.0
For-profit,ESSEX,2019,Net change,Places,-8.0
For-profit,ESSEX,2017,Exits,Children's homes,2.0
For-profit,ESSEX,2022,Exits,Children's homes,2.0
For-profit,ESSEX,2016,Exits,Children's homes,2.0
For-profit,ESSEX,2015,Exits,Places,3.0
For-profit,ESSEX,2016,Entries,Places,26.0
For-profit,ESSEX,2016,Exits,Places,2.0
For-profit,ESSEX,2019,Entries,Children's homes,4.0
For-profit,ESSEX,2014,Exits,Places,0.0
Local Authority,ESSEX,2017,Exits,Places,16.0
For-profit,ESSEX,2018,Net change,Children's homes,-1.0
For-profit,ESSEX,2015,Exits,Children's homes,2.0
For-profit,ESSEX,2018,Net change,Places,0.0
For-profit,ESSEX,2019,Entries,Places,18.0
For-profit,ESSEX,2021,Exits,Children's homes,3.0
For-profit,ESSEX,2021,Exits,Places,7.0
For-profit,ESSEX,2022,Exits,Places,4.0
For-profit,ESSEX,2018,Exits,Places,11.0
For-profit,ESSEX,2023,Entries,Children's homes,1.0
For-profit,ESSEX,2019,Exits,Children's homes,9.0
Local Authority,ESSEX,2014,Exits,Children's homes,2.0
For-profit,ESSEX,2021,Entries,Places,33.0
For-profit,ESSEX,2016,Entries,Children's homes,5.0
For-profit,ESSEX,2017,Entries,Places,29.0
For-profit,ESSEX,2023,Entries,Places,3.0
For-profit,ESSEX,2019,Exits,Places,26.0
For-profit,ESSEX,2018,Entries,Places,11.0
For-profit,ESSEX,2020,Exits,Places,17.0
For-profit,ESSEX,2022,Entries,Places,29.0
For-profit,GATESHEAD,2021,Entries,Places,6.0
Local Authority,GATESHEAD,2016,Exits,Places,5.0
For-profit,GATESHEAD,2020,Entries,Children's homes,2.0
Local Authority,GATESHEAD,2016,Exits,Children's homes,2.0
For-profit,GATESHEAD,2018,Net change,Children's homes,-1.0
Local Authority,GATESHEAD,2020,Net change,Places,9.0
For-profit,GATESHEAD,2018,Net change,Places,0.0
For-profit,GATESHEAD,2018,Entries,Places,2.0
For-profit,GATESHEAD,2021,Net change,Places,6.0
For-profit,GATESHEAD,2021,Net change,Children's homes,2.0
Local Authority,GATESHEAD,2020,Entries,Children's homes,2.0
For-profit,GATESHEAD,2020,Net change,Places,10.0
For-profit,GATESHEAD,2021,Entries,Children's homes,2.0
For-profit,GATESHEAD,2016,Entries,Places,5.0
For-profit,GATESHEAD,2018,Exits,Places,2.0
For-profit,GATESHEAD,2018,Exits,Children's homes,2.0
For-profit,GATESHEAD,2019,Net change,Places,5.0
For-profit,GATESHEAD,2016,Entries,Children's homes,1.0
For-profit,GATESHEAD,2019,Entries,Children's homes,1.0
For-profit,GATESHEAD,2020,Entries,Places,10.0
For-profit,GATESHEAD,2020,Net change,Children's homes,2.0
For-profit,GATESHEAD,2019,Entries,Places,5.0
Local Authority,GATESHEAD,2020,Entries,Places,9.0
For-profit,GATESHEAD,2019,Net change,Children's homes,1.0
Local Authority,GATESHEAD,2020,Net change,Children's homes,2.0
For-profit,GATESHEAD,2018,Entries,Children's homes,1.0
For-profit,GLOUCESTERSHIRE,2020,Exits,Children's homes,1.0
For-profit,GLOUCESTERSHIRE,2022,Entries,Places,7.0
For-profit,GLOUCESTERSHIRE,2020,Entries,Children's homes,1.0
For-profit,GLOUCESTERSHIRE,2023,Entries,Children's homes,2.0
For-profit,GLOUCESTERSHIRE,2021,Net change,Children's homes,1.0
For-profit,GLOUCESTERSHIRE,2019,Entries,Children's homes,2.0
For-profit,GLOUCESTERSHIRE,2020,Exits,Places,15.0
For-profit,GLOUCESTERSHIRE,2021,Net change,Places,3.0
Local Authority,GLOUCESTERSHIRE,2016,Exits,Children's homes,3.0
For-profit,GLOUCESTERSHIRE,2020,Entries,Places,6.0
For-profit,GLOUCESTERSHIRE,2017,Net change,Children's homes,2.0
For-profit,GLOUCESTERSHIRE,2023,Net change,Places,6.0
For-profit,GLOUCESTERSHIRE,2023,Net change,Children's homes,2.0
For-profit,GLOUCESTERSHIRE,2018,Exits,Children's homes,14.0
For-profit,GLOUCESTERSHIRE,2022,Net change,Places,7.0
For-profit,GLOUCESTERSHIRE,2022,Net change,Children's homes,3.0
For-profit,GLOUCESTERSHIRE,2020,Net change,Places,-9.0
For-profit,GLOUCESTERSHIRE,2020,Net change,Children's homes,0.0
For-profit,GLOUCESTERSHIRE,2017,Entries,Places,9.0
For-profit,GLOUCESTERSHIRE,2021,Entries,Children's homes,1.0
For-profit,GLOUCESTERSHIRE,2019,Net change,Children's homes,2.0
For-profit,GLOUCESTERSHIRE,2021,Entries,Places,3.0
For-profit,GLOUCESTERSHIRE,2023,Entries,Places,6.0
For-profit,GLOUCESTERSHIRE,2017,Net change,Places,9.0
For-profit,GLOUCESTERSHIRE,2018,Entries,Places,11.0
For-profit,GLOUCESTERSHIRE,2016,Entries,Children's homes,2.0
For-profit,GLOUCESTERSHIRE,2019,Entries,Places,19.0
For-profit,GLOUCESTERSHIRE,2022,Entries,Children's homes,3.0
For-profit,GLOUCESTERSHIRE,2018,Net change,Places,-57.0
For-profit,GLOUCESTERSHIRE,2019,Net change,Places,19.0
For-profit,GLOUCESTERSHIRE,2018,Exits,Places,68.0
For-profit,GLOUCESTERSHIRE,2017,Entries,Children's homes,2.0
For-profit,GLOUCESTERSHIRE,2018,Net change,Children's homes,-12.0
For-profit,GLOUCESTERSHIRE,2016,Entries,Places,12.0
For-profit,GLOUCESTERSHIRE,2018,Entries,Children's homes,2.0
Local Authority,GLOUCESTERSHIRE,2016,Exits,Places,6.0
For-profit,GREENWICH,2017,Net change,Places,-5.0
For-profit,GREENWICH,2021,Entries,Places,6.0
For-profit,GREENWICH,2017,Net change,Children's homes,-2.0
For-profit,GREENWICH,2017,Exits,Children's homes,2.0
For-profit,GREENWICH,2015,Exits,Places,0.0
For-profit,GREENWICH,2017,Exits,Places,5.0
For-profit,GREENWICH,2021,Net change,Places,6.0
Local Authority,GREENWICH,2019,Exits,Places,4.0
Local Authority,GREENWICH,2020,Net change,Places,12.0
